DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL
20210112,040000,35456.8900000,35585.5700000,34326.0000000,34947.0200000,2785
20210112,050000,34942.0500000,35469.6700000,33837.9300000,34316.4500000,1678
20210112,060000,34316.4500000,34611.0000000,33686.1100000,34405.2800000,1801
20210112,070000,34407.5600000,35000.0000000,34191.0500000,34996.3800000,1077
20210112,080000,34994.6300000,35320.1800000,34538.4900000,35286.6200000,1522
20210112,090000,35274.2000000,35900.0000000,34989.4300000,35900.0000000,1483
20210112,100000,35900.0000000,36384.8100000,35743.1100000,36029.4900000,1339
20210112,110000,36025.8700000,36604.5100000,35631.8800000,36449.2600000,1098
20210112,120000,36443.7200000,36527.6300000,35620.8800000,35776.1700000,845
20210112,130000,35774.9400000,36132.3700000,35458.9300000,35911.4600000,499
20210112,140000,35911.4600000,36129.4000000,34758.0000000,35054.9200000,991
20210112,150000,35049.3200000,35854.5600000,35046.1900000,35388.3900000,585
20210112,160000,35402.5500000,35681.6000000,34864.1700000,34986.8500000,728
20210112,170000,34987.6300000,35390.0600000,33168.0700000,33248.4500000,1902
20210112,180000,33238.2300000,34049.9900000,32500.0000000,33402.6000000,2053
20210112,190000,33405.3600000,34297.5900000,33405.3600000,33834.0600000,1183
20210112,200000,33834.0800000,35000.0000000,33825.1900000,35000.0000000,864
20210112,210000,34994.4400000,35294.4100000,34539.0200000,34998.6100000,1008
20210112,220000,34998.6100000,35488.0000000,34800.9500000,34998.8600000,879
20210112,230000,34998.8600000,35000.0000000,34139.1800000,34669.8900000,635
20210113,000000,34656.0300000,34666.8900000,33500.0000000,34285.4000000,1036
20210113,010000,34285.4000000,34861.2100000,33794.1500000,34710.3600000,629
20210113,020000,34706.8600000,35000.0000000,33358.0000000,33751.2200000,903
20210113,030000,33750.8800000,34108.5700000,33300.0000000,34038.9800000,1147
20210113,040000,34035.5300000,34035.5300000,32309.0400000,32450.7500000,2451
20210113,050000,32450.7500000,33210.2500000,32441.6700000,33099.5600000,1486
20210113,060000,33095.1200000,33521.0600000,32533.0500000,33011.2700000,875
20210113,070000,33011.3000000,34350.0000000,32949.2900000,33787.4200000,1457
20210113,080000,33792.0700000,33887.9500000,33066.6800000,33164.4000000,948
20210113,090000,33158.4500000,33499.9200000,32800.0000000,33300.0000000,748
20210113,100000,33299.8800000,34232.8300000,33199.8800000,33751.3400000,774
20210113,110000,33764.6700000,35149.0400000,33676.3600000,34940.7200000,1234
20210113,120000,34958.4300000,35068.1000000,34408.0000000,34490.6400000,839
20210113,130000,34485.5400000,35124.6700000,34021.5600000,34329.3500000,650
20210113,140000,34331.7100000,35030.5700000,34331.7100000,34906.2000000,699
20210113,150000,34916.6700000,35233.2700000,34219.2400000,34378.6600000,986
20210113,160000,34378.3700000,34497.9800000,34010.0000000,34230.7900000,643
20210113,170000,34231.8500000,34764.7800000,34040.5900000,34546.3500000,641
20210113,180000,34552.9700000,35073.8700000,34191.2700000,34240.2400000,908
20210113,190000,34243.9800000,34849.3400000,34175.0000000,34652.1900000,695
20210113,200000,34650.5200000,34899.0100000,34362.8300000,34758.0500000,491
20210113,210000,34758.0600000,34961.0500000,34618.9200000,34806.8100000,534
