[2021-01-04T20:56:21.423][0] 	% 
[2021-01-04T20:56:23.506][0] 	% 
[2021-01-04T20:56:25.567][0] 	% 
[2021-01-04T20:56:27.765][0] 	% 
[2021-01-04T20:56:29.813][0] 	% 
[2021-01-04T20:56:31.756][0] 	% 
[2021-01-04T20:56:33.984][0] 	% 
[2021-01-04T20:56:35.815][0] 	% 
[2021-01-04T20:56:37.844][0] 	% 
[2021-01-04T20:56:39.934][0] 	% 
[2021-01-04T20:56:42.123][0] 	% 
[2021-01-04T20:56:44.181][0] 	% 
[2021-01-04T20:56:46.232][0] 	% 
[2021-01-04T20:56:48.257][0] 	% 
[2021-01-04T20:56:50.267][0] 	% 
[2021-01-04T20:56:52.325][0] 	% 
[2021-01-04T20:56:54.424][0] 	% 
[2021-01-04T20:56:56.425][0] 	% 
[2021-01-04T20:56:58.49][0] 	% 
[2021-01-04T20:57:00.43][0] 	% 
[2021-01-04T20:57:02.51][0] 	% 
[2021-01-04T20:57:04.522][0] 	% 
[2021-01-04T20:57:06.56][0] 	% 
[2021-01-04T20:57:08.781][0] 	% 
[2021-01-04T20:57:10.798][0] 	% 
[2021-01-04T20:57:12.915][0] 	% 
[2021-01-04T20:57:15.033][0] 	% 
[2021-01-04T20:57:17.083][0] 	% 
[2021-01-04T20:57:19.14][0] 	% 
[2021-01-04T20:57:21.167][0] 	% 
[2021-01-04T20:57:23.169][0] 	% 
[2021-01-04T20:57:25.249][0] 	% 
[2021-01-04T20:57:27.422][0] 	% 
[2021-01-04T20:57:29.454][0] 	% 
[2021-01-04T20:57:31.454][0] 	% 
[2021-01-04T20:57:33.589][0] 	% 
[2021-01-04T20:57:35.792][0] 	% 
[2021-01-04T20:57:37.8][0] 	% 
[2021-01-04T20:57:40.048][0] 	% 
[2021-01-04T20:57:41.971][0] 	% 
[2021-01-04T20:57:44.098][0] 	% 
[2021-01-04T20:57:46.284][0] 	% 
[2021-01-04T20:57:48.7][0] 	% 
[2021-01-04T20:57:50.766][0] 	% 
[2021-01-04T20:57:52.804][0] 	% 
[2021-01-04T20:57:54.945][0] 	% 
[2021-01-04T20:57:57.033][0] 	% 
[2021-01-04T20:57:59.314][0] 	% 
[2021-01-04T20:58:00.173][0] 	% 
[2021-01-04T20:58:02.193][0] 	% 
[2021-01-04T20:58:04.224][0] 	% 
[2021-01-04T20:58:06.212][0] 	% 
[2021-01-04T20:58:08.267][0] 	% 
[2021-01-04T20:58:10.316][0] 	% 
[2021-01-04T20:58:12.316][0] 	% 
[2021-01-04T20:58:14.31][0] 	% 
[2021-01-04T20:58:16.432][0] 	% 
[2021-01-04T20:58:18.681][0] 	% 
[2021-01-04T20:58:20.675][0] 	% 
[2021-01-04T20:58:22.731][0] 	% 
[2021-01-04T20:58:24.758][0] 	% 
[2021-01-04T20:58:26.932][0] 	% 
[2021-01-04T20:58:29.044][0] 	% 
[2021-01-04T20:58:31.051][0] 	% 
[2021-01-04T20:58:33.15][0] 	% 
[2021-01-04T20:58:35.167][0] 	% 
[2021-01-04T20:58:37.237][0] 	% 
[2021-01-04T20:58:39.337][0] 	% 
[2021-01-04T20:58:41.348][0] 	% 
[2021-01-04T20:58:43.375][0] 	% 
[2021-01-04T20:58:45.712][0] 	% 
[2021-01-04T20:58:47.776][0] 	% 
[2021-01-04T20:58:49.81][0] 	% 
[2021-01-04T20:58:52.035][0] 	% 
[2021-01-04T20:58:54.08][0] 	% 
[2021-01-04T20:58:56.248][0] 	% 
[2021-01-04T20:58:58.237][0] 	% 
[2021-01-04T20:59:00.189][0] 	% 
[2021-01-04T20:59:02.294][0] 	% 
[2021-01-04T20:59:04.355][0] 	% 
[2021-01-04T20:59:06.349][0] 	% 
[2021-01-04T20:59:08.557][0] 	% 
[2021-01-04T20:59:10.552][0] 	% 
[2021-01-04T20:59:12.582][0] 	% 
[2021-01-04T20:59:14.695][0] 	% 
[2021-01-04T20:59:16.745][0] 	% 
[2021-01-04T20:59:18.829][0] 	% 
[2021-01-04T20:59:21.011][0] 	% 
[2021-01-04T20:59:22.88][0] 	% 
[2021-01-04T20:59:25.095][0] 	% 
[2021-01-04T20:59:26.975][0] 	% 
[2021-01-04T20:59:29.118][0] 	% 
[2021-01-04T20:59:31.151][0] 	% 
[2021-01-04T20:59:33.258][0] 	% 
[2021-01-04T20:59:35.279][0] 	% 
[2021-01-04T20:59:37.327][0] 	% 
[2021-01-04T20:59:39.331][0] 	% 
[2021-01-04T20:59:41.344][0] 	% 
[2021-01-04T20:59:43.421][0] 	% 
[2021-01-04T20:59:45.435][0] 	% 
[2021-01-04T20:59:47.44][0] 	% 
[2021-01-04T20:59:49.533][0] 	% 
[2021-01-04T20:59:51.537][0] 	% 
[2021-01-04T20:59:53.671][0] 	% 
[2021-01-04T20:59:55.659][0] 	% 
[2021-01-04T20:59:57.777][0] 	% 
[2021-01-04T20:59:59.859][0] 	% 
[2021-01-04T21:00:00.271][0] 	% 
[2021-01-04T21:00:02.338][0] 	% 
[2021-01-04T21:00:04.359][0] 	% 
[2021-01-04T21:00:06.383][0] 	% 
[2021-01-04T21:00:09.065][0] 	% 
[2021-01-04T21:00:11.563][0] 	% 
[2021-01-04T21:00:12.552][0] 	% 
[2021-01-04T21:00:14.69][0] 	% 
[2021-01-04T21:00:16.748][0] 	% 
[2021-01-04T21:00:18.763][0] 	% 
[2021-01-04T21:00:20.753][0] 	% 
[2021-01-04T21:00:22.901][0] 	% 
[2021-01-04T21:00:25.19][0] 	% 
[2021-01-04T21:00:27.149][0] 	% 
[2021-01-04T21:00:29.186][0] 	% 
[2021-01-04T21:00:31.277][0] 	% 
[2021-01-04T21:00:33.467][0] 	% 
[2021-01-04T21:00:35.478][0] 	% 
[2021-01-04T21:00:37.507][0] 	% 
[2021-01-04T21:00:39.521][0] 	% 
[2021-01-04T21:00:41.527][0] 	% 
[2021-01-04T21:00:43.71][0] 	% 
[2021-01-04T21:00:45.778][0] 	% 
[2021-01-04T21:00:47.832][0] 	% 
[2021-01-04T21:00:49.902][0] 	% 
[2021-01-04T21:00:51.91][0] 	% 
[2021-01-04T21:00:53.922][0] 	% 
[2021-01-04T21:00:55.99][0] 	% 
[2021-01-04T21:00:58.494][0] 	% 
[2021-01-04T21:01:00.171][0] 	% 
[2021-01-04T21:01:02.331][0] 	% 
[2021-01-04T21:01:04.379][0] 	% 
[2021-01-04T21:01:06.364][0] 	% 
[2021-01-04T21:01:08.395][0] 	% 
[2021-01-04T21:01:10.441][0] 	% 
[2021-01-04T21:01:12.611][0] 	% 
[2021-01-04T21:01:14.656][0] 	% 
[2021-01-04T21:01:16.713][0] 	% 
[2021-01-04T21:01:18.716][0] 	% 
[2021-01-04T21:01:20.787][0] 	% 
[2021-01-04T21:01:22.867][0] 	% 
[2021-01-04T21:01:24.951][0] 	% 
[2021-01-04T21:01:26.984][0] 	% 
[2021-01-04T21:01:29.092][0] 	% 
[2021-01-04T21:01:31.28][0] 	% 
[2021-01-04T21:01:33.187][0] 	% 
[2021-01-04T21:01:35.247][0] 	% 
[2021-01-04T21:01:37.285][0] 	% 
[2021-01-04T21:01:39.332][0] 	% 
[2021-01-04T21:01:41.351][0] 	% 
[2021-01-04T21:01:43.445][0] 	% 
[2021-01-04T21:01:45.464][0] 	% 
[2021-01-04T21:01:47.487][0] 	% 
[2021-01-04T21:01:49.556][0] 	% 
[2021-01-04T21:01:51.597][0] 	% 
[2021-01-04T21:01:53.706][0] 	% 
[2021-01-04T21:01:55.736][0] 	% 
[2021-01-04T21:01:57.74][0] 	% 
[2021-01-04T21:01:59.76][0] 	% 
[2021-01-04T21:02:00.281][0] 	% 
[2021-01-04T21:02:02.447][0] 	% 
[2021-01-04T21:02:04.643][0] 	% 
[2021-01-04T21:02:06.696][0] 	% 
[2021-01-04T21:02:08.801][0] 	% 
[2021-01-04T21:02:10.835][0] 	% 
[2021-01-04T21:02:12.909][0] 	% 
[2021-01-04T21:02:15.056][0] 	% 
[2021-01-04T21:02:17.434][0] 	% 
[2021-01-04T21:02:19.778][0] 	% 
[2021-01-04T21:02:21.78][0] 	% 
[2021-01-04T21:02:23.809][0] 	% 
[2021-01-04T21:02:25.854][0] 	% 
[2021-01-04T21:02:28.588][0] 	% 
[2021-01-04T21:02:30.587][0] 	% 
[2021-01-04T21:02:32.625][0] 	% 
[2021-01-04T21:02:34.712][0] 	% 
[2021-01-04T21:02:36.729][0] 	% 
[2021-01-04T21:02:38.792][0] 	% 
[2021-01-04T21:02:40.839][0] 	% 
[2021-01-04T21:02:42.959][0] 	% 
[2021-01-04T21:02:45.042][0] 	% 
[2021-01-04T21:02:47.13][0] 	% 
[2021-01-04T21:02:49.351][0] 	% 
[2021-01-04T21:02:51.189][0] 	% 
[2021-01-04T21:02:53.343][0] 	% 
[2021-01-04T21:02:55.397][0] 	% 
[2021-01-04T21:02:57.606][0] 	% 
[2021-01-04T21:02:59.798][0] 	% 
[2021-01-04T21:03:00.226][0] 	% 
[2021-01-04T21:03:02.288][0] 	% 
[2021-01-04T21:03:04.448][0] 	% 
[2021-01-04T21:03:06.456][0] 	% 
[2021-01-04T21:03:08.734][0] 	% 
[2021-01-04T21:03:10.773][0] 	% 
[2021-01-04T21:03:12.852][0] 	% 
[2021-01-04T21:03:15.037][0] 	% 
[2021-01-04T21:03:17.132][0] 	% 
[2021-01-04T21:03:19.408][0] 	% 
[2021-01-04T21:03:21.236][0] 	% 
[2021-01-04T21:03:23.343][0] 	% 
[2021-01-04T21:03:25.889][0] 	% 
[2021-01-04T21:03:27.912][0] 	% 
[2021-01-04T21:03:30.053][0] 	% 
[2021-01-04T21:03:32.112][0] 	% 
[2021-01-04T21:03:34.125][0] 	% 
[2021-01-04T21:03:36.131][0] 	% 
[2021-01-04T21:03:38.14][0] 	% 
[2021-01-04T21:03:40.429][0] 	% 
[2021-01-04T21:03:42.428][0] 	% 
[2021-01-04T21:03:44.491][0] 	% 
[2021-01-04T21:03:46.5][0] 	% 
[2021-01-04T21:03:48.761][0] 	% 
[2021-01-04T21:03:50.788][0] 	% 
[2021-01-04T21:03:53.124][0] 	% 
